name,group,pass,headpass,airduel,foul,dribbling,corner,cross,kick,defense,acceleration,id,goal
Bertrand Isidore Traor\u00e9,Forward,27,7,11,23,33,0,11,35,22,25,142755,13
Vitor Hugo Franchescoli de Souza,Defender,16,19,14,13,2,0,0,2,28,0,44510,1
Lemouya Goudiaby,Midfielder,1,1,0,0,1,0,0,0,2,0,470517,0
Marcel Benger,Midfielder,0,0,0,0,0,0,0,0,0,0,372316,0
Siriki Sanogo,Forward,0,0,1,1,0,0,0,0,0,0,564512,0
Alberto L\u00f3pez Jim\u00e9nez,Defender,0,1,0,0,0,0,0,0,2,0,470756,0
Gylfi \u00de\u00f3r Sigur\u00f0sson,Midfielder,23,16,13,26,29,46,19,24,57,8,77558,4
Valentino Lazaro,Midfielder,15,10,14,21,23,16,15,7,32,24,208652,2
Rodrigo Ely,Defender,21,59,38,30,3,0,0,5,29,2,208694,1
Matteo Politano,Forward,22,22,15,16,53,30,45,42,30,62,208696,10
Alessandro Sch\u00f6pf,Midfielder,10,6,5,28,11,2,5,6,26,8,208716,0
Alejandro Berenguer Remiro,Forward,10,5,6,27,25,14,8,6,23,24,339791,1
Rodrigue Casimir Ninga,Forward,6,12,13,34,23,0,7,14,15,12,143189,1
Pape Cheik Diop Gueye,Midfielder,0,0,0,0,0,0,0,0,0,0,339812,0
Killian Sanson,Midfielder,0,0,0,0,0,0,0,0,0,0,372627,0
Baptiste Santamaria,Midfielder,29,31,18,49,14,0,6,7,58,15,274344,0
Seybou Koita,Forward,1,0,3,2,4,1,1,1,2,1,274345,0
Patrik Carlgren,Goalkeeper,0,0,0,0,0,0,0,0,0,0,51188,0
Nick Pope,Goalkeeper,2,0,5,1,0,0,0,0,14,0,12242,0
Bartolomeu Jacinto Quissanga,Defender,22,12,9,14,6,0,1,4,26,8,208865,4
Saeid Ezatolahi Afagh,Midfielder,1,1,1,4,1,0,0,0,4,0,241647,0
Yoann Salmier,Defender,14,12,4,14,1,0,0,1,16,2,339964,0
Enes \u00dcnal,Forward,8,19,35,41,32,0,2,19,19,12,274435,5
Guido Guerrieri,Goalkeeper,0,0,0,0,0,0,0,0,0,0,241675,0
Roberto Gagliardini,Midfielder,36,29,23,52,12,0,5,10,46,11,241676,0
Carlos Soler Barrag\u00e1n,Midfielder,24,10,6,55,26,2,23,19,44,31,372752,1
Francisco Javier Guerrero Mart\u00edn,Forward,12,11,7,17,13,0,13,2,24,9,372753,1
Gerson Santos da Silva,Midfielder,13,4,9,22,13,0,4,4,18,5,340019,2
Adam Masina,Defender,31,46,37,57,21,0,19,7,66,12,232822,0
Alessandro Bastoni,Defender,2,3,1,2,2,0,0,0,3,0,405597,0
Mirko Antonucci,Forward,0,1,0,0,0,0,2,0,0,0,405602,0
K\u00e9vin Manuel Rodrigues,Defender,19,10,9,25,11,0,27,6,37,15,209012,1
Farid Boulaya,Midfielder,2,1,0,4,3,2,2,1,3,5,209014,0
Adrien Thomasson,Midfielder,33,19,12,30,25,0,23,23,58,9,209028,5
Vasilije Janji\u010di\u0107,Midfielder,3,8,3,7,1,0,0,1,6,1,444439,0
Anthony Maisonnial,Goalkeeper,0,0,0,0,0,0,0,0,0,0,340108,0
Kouadio Yves Dabila,Defender,13,9,5,14,2,0,3,0,17,2,372904,0
Amine Harit,Midfielder,20,10,8,21,53,0,11,11,33,53,372915,3
Morgan Sanson,Midfielder,25,14,13,48,35,4,24,23,50,27,209086,9
Corentin Tolisso,Midfielder,37,18,14,27,12,0,6,19,25,12,209091,6
Abdallah N'Dour,Defender,2,2,1,4,2,0,6,0,7,3,209095,0
Adrien Rabiot,Midfielder,58,20,15,41,25,0,9,10,45,23,209117,1
Pione Sisto Ifolo Emirmija,Midfielder,29,3,7,14,64,13,24,24,33,42,241945,5
Julian Pollersbeck,Goalkeeper,8,0,0,0,0,0,0,0,5,0,241957,0
Gideon Jung,Defender,25,37,22,63,19,0,2,3,44,7,241966,1
Weston  McKennie,Midfielder,12,15,12,39,10,0,1,4,30,5,471348,0
Johann Obiang,Defender,5,3,3,8,2,0,6,1,12,4,209207,0
Flavien Tait,Midfielder,23,7,6,28,37,20,21,25,43,41,209209,4
Micha\u00ebl Jordan Nkololo,Midfielder,2,2,4,5,9,2,5,7,7,3,209211,0
Gabriel Fernando de Jesus,Forward,17,10,18,33,27,0,4,27,27,10,340386,13
Fakhreddine Ben Youssef,Forward,2,2,3,3,1,0,1,3,2,1,209354,0
Alejandro Robles Garc\u00eda,Defender,1,2,0,3,0,0,0,0,3,0,405972,0
Domenico Berardi,Forward,21,18,12,41,33,32,23,33,39,37,209400,4
Reece Oxford,Defender,6,8,7,11,2,0,2,1,6,0,340476,0
Everton Luiz Guimaraes Bilher,Midfielder,6,3,2,13,5,0,0,0,18,6,45579,0
Alexandre Mendy,Forward,3,7,17,16,13,0,2,11,5,0,274970,4
Jamie Vardy,Forward,9,22,53,38,22,0,20,29,22,18,12829,20
Moussa Sylla,Forward,1,3,7,8,2,0,1,4,1,3,471589,2
Enzo Crivelli,Forward,8,15,47,43,24,0,2,7,14,2,275032,2
Robin Hack,Midfielder,0,3,1,1,1,0,1,0,2,0,373350,1
Vincent Thill,Midfielder,0,0,0,0,0,0,0,0,1,0,406156,0
Benjamin Pavard,Defender,53,56,46,33,10,0,9,6,64,6,340646,1
Jordan Torunarigha,Defender,8,14,9,10,1,0,0,1,21,2,275121,1
Hotaru Yamaguchi,Midfielder,3,1,1,2,0,0,0,0,2,0,95010,0
Alessandro Confente,Goalkeeper,0,0,0,0,0,0,0,0,0,0,417230,0
Imad Faraj,Midfielder,2,1,1,1,3,0,3,2,4,0,471771,0
L\u00e9o Dubois,Defender,34,32,16,26,21,40,54,20,59,50,242446,0
Sa\u00eef-Eddine Khaoui,Midfielder,17,12,9,46,24,36,7,26,42,13,275243,0
Samuel Garc\u00eda S\u00e1nchez,Midfielder,3,5,4,24,4,0,4,1,12,0,275293,0
Brian Oladapo Idowu,Defender,2,2,2,3,1,0,1,0,6,1,209792,0
Vincent Sierro,Midfielder,2,2,1,5,2,0,2,2,4,0,373636,0
Jorge Mer\u00e9 P\u00e9rez,Defender,23,34,18,16,3,0,1,1,24,6,275384,1
Riccardo Orsolini,Forward,3,4,4,13,8,1,6,4,10,4,373768,0
Gerard Valent\u00edn Sancho,Defender,1,0,2,2,2,0,0,1,6,2,275497,0
Eden Massouema,Midfielder,2,1,1,5,2,0,0,0,3,0,373817,0
Eric  Dier,Midfielder,69,51,41,29,8,0,10,19,50,7,210044,0
Ademola Lookman,Midfielder,7,3,2,15,15,2,3,7,14,12,406682,5
Sardar Azmoun,Forward,1,2,9,5,2,0,0,1,3,3,79006,0
Bamidele Alli,Midfielder,39,25,26,48,64,2,14,37,46,41,13484,9
Amadou Diawara,Midfielder,19,9,2,14,3,0,0,3,11,1,374013,1
Karim Ansarifard,Forward,1,1,2,4,1,1,1,1,3,2,79149,0
Quentin Boisgard,Midfielder,2,2,2,4,4,1,3,0,3,1,374118,0
Nabil Bentaleb,Midfielder,14,9,5,27,6,0,1,5,21,6,144766,4
Ehsan Hajsafi,Defender,1,1,1,0,1,0,1,1,3,0,79248,0
K\u00e9vin Malcuit,Defender,26,14,6,13,29,0,25,4,39,40,144867,0
Christopher Jullien,Defender,27,38,40,34,3,0,2,10,36,1,144884,1
Alireza Jahanbakhsh,Forward,1,2,1,5,1,2,1,1,3,1,79381,0
Ludovic Blas,Midfielder,25,10,13,32,23,1,6,17,28,19,340920,3
Marco Jhonfai Fabi\u00e1n De La Mora,Midfielder,5,0,4,11,7,4,2,8,6,4,112253,1
Caleb Stanko,Midfielder,3,5,3,3,1,0,0,0,4,1,145030,0
Miguel Arturo Lay\u00fan Prado,Defender,15,12,9,13,8,8,21,13,28,19,112366,0
Allan Saint-Maximin,Forward,22,3,6,9,62,1,34,15,19,58,276211,3
Marc Navarro Ceciliano,Defender,9,16,8,14,8,0,22,8,20,2,341751,1
Marc Roca Junqu\u00e9,Midfielder,4,3,1,7,1,0,0,2,6,2,341752,0
Oswaldo Augusto Vizcarrondo Ara\u00fajo,Defender,19,28,18,25,1,0,0,2,24,0,112377,0
Ra\u00fal Alonso Jim\u00e9nez Rodr\u00edguez,Forward,0,0,2,2,0,0,0,0,1,2,112392,0
H\u00e9ctor Miguel Herrera L\u00f3pez,Midfielder,5,3,1,15,5,0,2,2,12,3,112459,0
Luca Crosta,Goalkeeper,0,0,0,1,0,0,0,0,0,0,472938,0
Bruno Miguel Borges Fernandes,Midfielder,1,1,1,1,1,0,1,1,1,2,243588,0
Jes\u00fas Manuel Corona Ru\u00edz,Forward,1,0,0,0,1,0,1,0,0,0,112522,0
Javier Ignacio Aquino Carmona,Midfielder,0,0,0,0,0,0,0,0,0,0,112556,0
Nordi Mukiele Mulere,Defender,37,27,27,37,24,2,38,8,62,40,341973,0
Aleksandr Erokhin,Midfielder,0,0,1,2,1,0,0,1,1,1,101953,0
Nicolas Haas,Midfielder,2,3,0,1,1,0,1,0,3,0,342075,0
O\u011fuzhan \u00d6zyakup,Midfielder,1,2,1,1,2,0,0,0,1,2,7869,0
Bel Durel Avounou,Midfielder,5,10,4,8,3,0,8,2,14,4,407699,0
Ibrahim Sangar\u00e9,Midfielder,20,20,11,42,16,0,5,9,42,9,375001,1
Quentin Cornette,Forward,3,2,2,9,7,2,2,3,9,11,243931,1
Mohamet Airam Ramos Wade,Goalkeeper,0,0,0,0,0,0,0,0,0,0,473326,0
Branislav Ivanovi\u0107,Defender,1,3,2,1,1,0,3,0,5,1,7891,0
Amr Medhat Warda,Midfielder,1,1,2,1,2,1,3,1,1,1,388928,0
Sokratis Papastathopoulos,Defender,47,31,27,40,7,0,2,6,41,10,14687,2
Ronaldo  Aparecido Rodrigues,Defender,40,55,51,35,6,0,0,18,35,0,14689,7
Philipp Bargfrede,Midfielder,24,25,18,43,8,0,2,7,43,9,14692,1
Aleksandar Ignjovski,Defender,0,0,0,0,0,0,0,0,0,0,14695,0
Zlatko Junuzovi\u0107,Midfielder,18,14,7,28,13,24,13,17,27,16,14696,2
Niclas F\u00fcllkrug,Forward,13,43,68,62,33,0,9,32,21,18,14705,14
Aaron Hunt,Midfielder,24,19,12,29,21,62,10,13,28,23,14706,3
Claudio Miguel Pizarro Bossio,Forward,5,6,10,7,10,0,1,7,5,1,14707,1
Manuel Neuer,Goalkeeper,6,1,0,0,0,0,0,0,5,0,14712,0
Holger Badstuber,Defender,26,32,23,24,5,0,1,3,31,6,14715,2
J\u00e9r\u00f4me Boateng,Defender,53,34,13,22,4,0,11,8,28,1,14716,1
Diego Contento,Defender,1,1,0,0,0,0,0,0,2,1,14717,0
M\u00e1rcio Rafael Ferreira de Souza,Defender,42,28,11,24,8,2,21,3,26,25,14718,1
Luiz Gustavo Dias,Midfielder,51,18,13,60,19,0,5,24,63,12,14722,5
Toni Kroos,Midfielder,80,10,7,26,18,87,16,31,49,25,14723,5
David Olatukunbo Alaba,Defender,32,16,11,10,16,4,35,14,19,23,14724,2
Franck Bilal Rib\u00e9ry,Midfielder,21,6,2,12,26,8,10,9,12,32,14726,5
Arjen Robben,Midfielder,20,12,6,9,27,18,11,21,8,47,14727,5
Takashi Usami,Forward,1,2,0,2,1,0,1,1,1,3,14730,0
Mario G\u00f3mez Garc\u00eda,Forward,11,34,56,46,25,0,9,29,20,4,14731,8
Thomas M\u00fcller,Forward,31,27,32,33,26,2,47,28,35,12,14732,8
Nils Petersen,Forward,11,36,53,16,21,0,7,24,21,2,14734,15
Sven Ulreich,Goalkeeper,12,0,2,1,0,0,0,0,9,1,14736,0
Cristian Molinaro,Defender,21,17,8,25,9,0,11,1,32,23,14745,0
Antonio R\u00fcdiger,Defender,47,22,24,30,6,0,4,7,44,13,14748,2
Gotoku Sakai,Defender,28,37,18,34,22,2,14,8,48,14,14749,0
Christian Gentner,Midfielder,30,32,17,57,17,0,19,10,54,17,14754,2
Zdravko Kuzmanovi\u0107,Midfielder,9,4,3,8,3,0,1,1,6,1,14757,0
Ibrahima Traor\u00e9,Midfielder,3,0,0,1,5,2,4,4,2,2,14758,0
Martin Harnik,Forward,13,25,31,49,16,0,9,21,29,10,14760,9
Vedad Ibi\u0161evi\u0107,Forward,8,11,27,41,18,0,2,14,12,3,14762,6
Shinji Okazaki,Forward,9,17,22,22,19,0,2,12,19,5,14763,6
Julian Schieber,Forward,0,1,1,2,1,0,0,0,2,0,14764,0
Ren\u00e9 Adler,Goalkeeper,4,0,2,1,0,0,0,0,4,0,14766,0
Fabian Giefer,Goalkeeper,0,0,0,0,0,0,0,0,0,0,14767,0
Bernd Leno,Goalkeeper,14,0,3,0,1,0,0,0,9,0,14768,0
Gonzalo Castro Randon,Midfielder,20,8,5,18,8,14,6,4,21,7,14770,0
Vedran \u0106orluka,Defender,7,12,9,3,1,0,0,0,3,2,14771,0
Danny  Vieira da Costa,Defender,13,18,10,12,6,0,16,4,25,7,14772,1
Bastian Oczipka,Defender,25,20,10,22,30,30,27,7,33,21,14775,0
Valent\u00edn Vada,Midfielder,14,5,3,15,8,12,4,5,19,8,276920,2
\u00d6mer Toprak,Defender,47,29,26,23,6,0,0,4,27,3,14778,0
Lars Bender,Midfielder,21,23,13,11,10,0,12,8,34,3,14781,2
Renato  Soares de Oliveira Augusto,Midfielder,1,0,0,0,1,0,1,1,1,1,14785,0
Karim Bellarabi,Midfielder,12,6,2,23,21,1,24,18,18,22,14786,1
Eren Derdiyok,Forward,0,0,1,0,1,0,0,1,0,0,14787,0
Stefan Kie\u00dfling,Forward,0,3,3,0,1,0,0,1,1,1,14788,0
Andr\u00e9 Sch\u00fcrrle,Forward,13,12,10,14,17,12,19,15,13,25,14789,1
Roman Weidenfeller,Goalkeeper,0,0,0,0,0,0,0,0,0,0,14794,0
Mats  Hummels,Defender,61,65,34,27,8,0,4,13,46,7,14795,1
\u0141ukasz Piszczek,Defender,38,58,29,28,16,0,30,9,52,27,14798,0
Jonathan Bamba,Forward,27,18,17,28,45,26,24,27,38,47,276944,7
Neven Suboti\u0107,Defender,28,22,19,9,2,0,1,3,24,0,14801,2
Marvin Bakalorz,Midfielder,14,25,15,30,20,0,6,9,32,14,14802,0
Sven Bender,Defender,39,37,34,24,4,0,0,6,41,4,14803,2
Jakub B\u0142aszczykowski,Midfielder,9,10,6,9,12,4,9,4,23,4,14804,1
Mario G\u00f6tze,Midfielder,27,14,7,29,26,10,11,13,33,17,14806,2
\u0130lkay G\u00fcndo\u011fan,Midfielder,39,12,3,14,13,6,3,15,23,23,14808,4
Ivan Peri\u0161i\u0107,Midfielder,39,57,41,38,49,7,100,66,59,54,14812,11
Shinji Kagawa,Midfielder,23,12,4,9,14,11,5,11,17,12,14816,5
Robert Lewandowski,Forward,19,18,41,49,46,0,10,57,15,28,14817,29
Michael Esser,Goalkeeper,1,0,0,0,0,0,0,0,2,0,14821,0
Andreas Luthe,Goalkeeper,1,0,0,0,0,0,0,0,0,0,14822,0
Adama Diakhaby,Forward,4,7,8,13,13,0,9,5,11,11,276978,2
Ferland Mendy,Defender,34,18,13,30,26,0,21,8,36,35,276979,0
Takashi Inui,Midfielder,24,21,13,38,43,8,27,30,42,35,14836,0
Christoph Kramer,Midfielder,38,22,12,45,18,0,3,4,51,12,14838,3
Isaac Mbenza,Forward,13,9,5,11,27,21,23,22,13,35,276983,8
Kevin Vogt,Defender,56,51,14,24,6,0,0,2,40,5,14842,0
Daniel Ginczek,Forward,6,17,30,34,19,0,4,18,15,5,14845,7
Ralf F\u00e4hrmann,Goalkeeper,8,0,4,0,0,0,0,0,14,0,14847,0
Sergio Escudero Palomo,Defender,32,32,22,38,14,0,18,9,63,28,14852,0
Benedikt H\u00f6wedes,Defender,12,9,7,5,1,0,4,1,10,2,14855,1
Kyriakos Papadopoulos,Defender,25,56,46,36,4,0,0,8,42,0,14857,1
Julian Draxler,Midfielder,43,7,9,28,27,18,10,17,23,21,14862,4
Marco H\u00f6ger,Midfielder,28,27,21,36,12,0,3,4,37,8,14863,0
Lewis Harry Holtby,Midfielder,13,12,10,17,13,8,7,9,21,6,14864,6
Jos\u00e9 Manuel Jurado Mar\u00edn,Midfielder,16,2,2,7,20,0,10,6,14,25,14866,0
F\u00e1gner Conserva Lemos,Defender,5,3,2,8,1,0,3,0,9,2,40707,0
Jefferson Agustin Farf\u00e1n Guadalupe,Forward,1,1,3,7,1,0,0,2,1,0,14872,0
Jaroslav Drobn\u00fd,Goalkeeper,0,0,0,0,0,0,0,0,0,0,14882,0
Tom Mickel,Goalkeeper,0,0,0,0,0,0,0,0,0,0,14883,0
Dennis Aogo,Defender,26,19,6,34,5,25,17,6,27,3,14885,0
Jeffrey  Bruma,Defender,15,14,12,13,1,0,0,1,15,0,14887,0
Dennis Diekmeier,Defender,13,22,9,14,14,0,32,2,24,21,14888,0
Gojko Ka\u010dar,Midfielder,2,2,5,1,0,0,0,1,6,2,14900,0
Tom\u00e1s Eduardo Rinc\u00f3n Hern\u00e1ndez,Midfielder,37,28,26,83,33,0,7,8,63,12,14903,1
Jacopo Sala,Defender,17,9,3,13,6,0,8,1,17,3,14904,0
Per Ciljan Skjelbred,Midfielder,28,27,12,45,7,0,2,3,48,12,14905,0
Heung-Min Son,Forward,26,14,7,15,52,7,20,36,24,31,14911,12
Diego Benaglio,Goalkeeper,0,0,0,0,0,0,0,0,1,0,14913,0
Marwin Hitz,Goalkeeper,10,0,3,2,0,0,0,0,19,0,14914,0
Robin Knoche,Defender,34,43,23,18,4,0,1,2,31,5,14917,1
Ricardo Iv\u00e1n Rodr\u00edguez Araya,Defender,56,26,18,45,26,13,59,19,70,32,14922,1
Marco Russ,Defender,13,21,20,12,2,0,0,3,16,5,14923,1
Makoto Hasebe,Midfielder,34,35,13,25,7,0,1,1,36,2,14929,0
Maximilian Arnold,Midfielder,33,23,15,53,18,32,8,15,43,6,14938,2
Adelino Andr\u00e9  Vieira Freitas,Midfielder,3,3,2,1,2,0,8,1,2,0,14940,0
Mario Mand\u017euki\u0107,Forward,27,54,51,36,30,0,12,28,30,17,14943,5
Giovanni-Guy Yann Sio,Forward,13,15,35,55,38,0,13,32,19,6,14945,10
Damir Ceter Valencia,Forward,1,2,7,2,4,0,1,0,2,3,335634,0
Keagan Dolly,Forward,9,3,4,3,9,18,12,9,10,12,244335,1
Oliver Baumann,Goalkeeper,17,1,2,0,0,0,0,0,14,0,14979,0
Bongani Zungu,Midfielder,26,29,14,37,12,0,4,4,41,10,244357,1
Oliver Sorg,Defender,16,20,8,20,7,0,9,3,42,5,14988,0
Daniel Caligiuri,Midfielder,31,20,12,40,38,26,27,14,75,46,14989,6
Fallou Diagne,Defender,24,28,21,29,3,0,1,6,31,1,14990,1
Matthias Ginter,Defender,52,31,33,9,7,0,1,11,36,3,14991,5
Karim Gu\u00e9d\u00e9,Forward,0,0,0,1,1,0,0,0,1,0,14992,0
Martin \u0160krtel,Defender,5,4,3,3,1,0,0,0,3,0,7960,0
Jonathan Schmid,Midfielder,10,15,10,13,10,24,14,10,23,5,14997,0
Julian Schuster,Midfielder,16,20,8,8,2,27,3,6,14,1,14998,0
Ivan Santini,Forward,13,45,70,83,38,0,1,34,23,2,15004,11
Marc-Andr\u00e9 ter Stegen,Goalkeeper,20,0,1,0,0,0,0,0,16,1,15008,0
Dante Bonfim da Costa Santos,Defender,60,32,25,30,6,0,2,7,33,2,15010,1
H\u00e5vard Nordtveit,Midfielder,15,8,5,11,2,0,0,3,14,1,15012,0
Oscar Wendt,Defender,27,24,10,35,6,15,21,7,43,7,15014,1
Matthias Zimmermann,Midfielder,1,1,0,0,0,0,1,0,2,0,15015,0
Tony Jantschke,Defender,8,10,7,9,3,0,4,0,10,3,15019,0
Mathew Leckie,Forward,18,27,48,51,35,0,16,12,37,19,15020,5
Roman Petrovich Neust\u00e4dter,Defender,2,1,1,2,0,0,0,0,3,0,15022,0
Marco Reus,Forward,12,6,5,16,11,14,8,15,12,11,15024,7
Ron-Robert Zieler,Goalkeeper,11,0,4,0,1,0,0,0,15,0,15032,0
Konstantin Rausch,Defender,9,13,6,12,4,11,16,6,16,7,15039,0
Manuel Schmiedebach,Midfielder,2,1,2,4,1,0,1,0,5,0,15050,0
Lars Stindl,Forward,41,24,28,62,40,4,6,31,41,8,15051,6
Mame Biram Diouf,Forward,10,39,68,36,22,0,16,24,35,10,15054,6
Tobias Sippel,Goalkeeper,3,0,0,0,0,0,0,0,3,0,15061,0
Kevin Trapp,Goalkeeper,1,0,0,0,0,0,0,0,2,0,15062,0
Lucas Tousart,Midfielder,38,43,29,42,11,0,2,6,69,5,342743,0
Renato Fabrizio Tapia Cortijo,Midfielder,1,2,2,3,0,0,0,0,4,0,139075,0
Willi Orban,Defender,30,55,40,28,4,0,1,4,30,0,15069,3
Olcay \u015eahan,Midfielder,0,0,0,1,0,0,0,1,2,2,15076,0
Nicolai J\u00f8rgensen,Forward,1,2,3,3,2,0,1,2,2,2,15080,0
Sandro Wagner,Forward,10,18,32,48,15,0,2,21,13,6,15085,8
Thomas Kraft,Goalkeeper,1,0,0,0,0,0,0,0,1,0,15090,0
Christoph Janker,Defender,0,1,1,1,0,0,0,0,2,1,15095,0
Fabian Lustenberger,Defender,21,23,15,18,4,0,2,1,26,0,15103,0
Raffael Caetano de Ara\u00fajo,Forward,21,9,5,16,39,0,7,21,25,16,15107,9
Dominik Maroh,Defender,11,18,13,5,1,0,0,1,16,0,15122,0
Marvin Plattenhardt,Defender,31,29,15,36,15,31,36,8,48,14,15125,0
Philipp Wollscheid,Defender,0,0,0,0,0,0,0,0,0,0,15126,0
Daniel Didavi,Midfielder,22,14,12,37,24,14,18,25,26,22,15129,9
Mike Frantz,Midfielder,5,8,14,22,6,0,3,4,17,2,15131,0
Timothy Chandler,Defender,15,20,18,24,9,0,32,11,21,16,15139,2
Alexander Esswein,Midfielder,5,8,5,12,6,0,6,4,13,8,15141,2
R\u00f3bert Mak,Forward,2,1,0,1,2,2,0,2,2,6,15142,0
Stefan Bell,Defender,21,27,34,46,5,0,1,4,42,1,15178,1
Niko Bungert,Defender,0,0,0,0,0,0,0,0,0,0,15179,0
Julian Baumgartlinger,Midfielder,28,27,10,22,9,0,2,5,40,1,15188,1
Yunus Mall\u0131,Midfielder,20,20,11,15,33,12,13,23,18,51,15191,5
Nicolai M\u00fcller,Midfielder,0,0,0,0,0,0,0,0,0,0,15192,1
Eugen Polanski,Midfielder,4,2,1,4,2,0,0,2,4,1,15193,0
Marcel Risse,Midfielder,13,3,2,9,6,23,23,8,15,7,15194,1
Mario Gavranovi\u0107,Forward,0,0,1,0,1,0,0,1,1,0,15199,0
\u00c1d\u00e1m Szalai,Forward,5,15,16,17,19,0,2,15,10,1,15200,5
Anthony Ujah,Forward,1,2,7,3,2,0,1,3,2,0,15201,0
Antonio Rukavina,Defender,13,22,6,23,2,0,13,0,23,6,15214,0
Sebastian Maier,Midfielder,3,3,2,3,2,4,1,3,8,5,15225,0
Jo\u00e3o Felipe Schmidt Urbano,Midfielder,0,0,0,0,0,0,0,0,0,0,40767,0
Kevin Volland,Forward,18,13,19,59,44,0,20,23,24,11,15231,14
Bobby Shou Wood,Forward,7,14,37,30,34,0,3,15,12,10,15232,2
Thomas Kessler,Goalkeeper,0,0,0,0,0,0,0,0,0,0,15235,0
Sebastian Jung,Defender,1,1,0,1,0,0,0,0,2,0,15244,0
R\u00faben Miguel Nunes Vezo,Defender,18,22,13,24,6,0,6,1,35,9,211853,0
Matthias Lehmann,Midfielder,20,24,6,12,2,0,2,5,21,2,15253,0
Alexander Meier,Forward,0,0,0,0,0,0,0,0,0,0,15254,0
Pirmin Schwegler,Midfielder,28,41,16,64,13,44,3,5,52,2,15256,0
Timo Horn,Goalkeeper,7,0,3,1,0,0,0,0,17,0,15265,0
Pedro Tonon Geromel,Defender,0,0,0,0,0,0,0,0,0,0,15272,0
Mitchell Weiser,Midfielder,23,19,15,33,29,15,22,7,46,16,15276,1
Andr\u00e9 Filipe Tavares Gomes,Midfielder,13,4,7,20,14,0,5,5,19,5,211885,0
Christian Clemens,Midfielder,5,4,3,11,6,6,10,7,11,7,15278,1
S\u0142awomir Peszko,Midfielder,0,1,0,3,1,0,0,0,1,0,15282,0
Sascha Riether,Defender,0,0,0,0,0,0,0,0,0,0,15284,0
Odise Roshi,Midfielder,1,1,3,0,2,0,2,0,1,1,15285,0
Mark Uth,Forward,13,12,16,50,25,2,7,25,30,17,15292,14
Leonardo Bittencourt,Midfielder,16,12,6,36,26,4,20,13,33,35,15317,5
Math\u00edas Olivera Miramontes,Defender,0,3,3,2,1,0,0,0,3,0,375771,1
Anwar El Ghazi,Forward,13,4,10,17,24,21,24,26,20,28,286553,4
Maximiliano Eduardo Meza,Midfielder,2,3,1,3,3,2,1,1,4,1,146459,0
Daniel Brosinski,Defender,24,20,18,16,15,26,38,14,37,31,15399,1
Nicolas H\u00f6fler,Midfielder,30,28,25,49,17,0,1,4,44,5,15430,1
Morgan Poaty,Defender,2,1,0,2,2,0,4,0,1,3,343116,0
Max Gr\u00fcn,Goalkeeper,0,0,0,0,0,0,0,0,0,0,15444,0
M\u00ebrgim Mavraj,Defender,18,38,27,21,3,0,1,3,30,1,15449,0
Johannes Geis,Midfielder,9,10,3,9,1,0,1,3,14,1,15455,0
Felix Klaus,Midfielder,14,27,17,29,24,14,15,25,31,31,15456,4
Pierre Lees Melou,Midfielder,41,14,10,57,25,32,18,20,58,28,277629,5
Janik Haberer,Midfielder,23,41,43,75,25,0,10,18,52,9,15487,3
Marc-Oliver Kempf,Defender,12,17,10,5,2,0,0,3,11,1,146569,0
Florian Niederlechner,Forward,3,6,6,17,11,0,1,9,8,4,15503,2
Julian Brandt,Midfielder,31,16,12,13,33,30,24,21,22,32,146583,9
Alexander Stolz,Goalkeeper,0,0,0,0,0,0,0,0,0,0,15512,0
Alessio Romagnoli,Defender,38,29,24,32,2,0,2,3,26,1,146588,2
Federico Mattiello,Defender,16,17,10,43,21,0,19,7,52,46,146590,0
Hakan \u00c7alhano\u011flu,Midfielder,32,11,11,38,24,49,26,39,33,15,15524,6
Marco Terrazzino,Forward,15,11,11,14,16,0,7,10,22,13,15533,0
Simon Zoller,Forward,6,9,7,16,8,0,8,4,10,8,15543,2
Jonathan Renato Barbosa,Forward,8,2,3,16,17,0,6,6,14,12,48318,2
Bruno Andr\u00e9 Cavaco Jord\u00e3o,Midfielder,0,0,0,0,0,0,0,0,0,0,401277,0
Bassem  Srarfi,Midfielder,9,5,4,15,17,0,6,10,15,17,408827,3
Gustavo Ra\u00fal G\u00f3mez Portillo,Defender,0,0,0,0,0,0,0,0,0,0,113927,0
Hannes \u00de\u00f3r Halld\u00f3rsson,Goalkeeper,1,0,1,1,0,0,0,0,6,0,57226,0
Mart\u00edn Andr\u00e9s Silva Leites,Goalkeeper,0,0,0,0,0,0,0,0,0,0,113995,0
Marcel Heller,Midfielder,6,12,6,18,16,0,32,6,26,32,15695,0
Benjamin H\u00fcbner,Defender,36,37,29,47,6,0,2,8,55,1,15719,3
Albert Gudmundsson,Forward,0,0,0,0,0,0,0,0,0,0,216568,0
Sebastian Langkamp,Defender,18,31,14,15,2,0,0,3,23,0,15771,0
Matthias Ostrzolek,Defender,21,35,14,33,11,0,29,6,43,14,15772,0
Paul Verhaegh,Defender,34,31,12,22,10,0,24,1,35,12,15775,2
Daniel Baier,Midfielder,37,51,14,48,16,0,9,12,47,12,15777,0
Ja-Cheol Koo,Midfielder,20,22,26,38,23,0,3,12,34,6,15781,2
Jan Mor\u00e1vek,Midfielder,8,14,6,27,3,0,1,1,23,1,15782,0
Koen Casteels,Goalkeeper,12,1,4,1,0,0,0,0,12,0,15795,0
Tom Starke,Goalkeeper,1,0,0,0,0,0,0,0,0,0,15797,0
